timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,L,m2,lambda,dt,eps,bs,integrator,num_noise,n_kernel,n_kernel_bond,n_basis,n_basis_bond,num_boots,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err,susc_avg,susc_err
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,1,21,20,20,20,2000,-8.609389305114746,0.12050794810056686,-14.629598617553711,0.12399543821811676,79177859072.0,44689997824.0,24.95903968811035,0.5795289874076843,0.0034254707861691713,0.0022730000782757998,0.025164447724819183,0.0007021038327366114
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,1,21,20,20,20,2000,-7.2868571281433105,0.12317867577075958,-15.67155647277832,0.08127138018608093,1101332736.0,229792048.0,20.802696228027344,0.2098781019449234,0.014885068871080875,0.0070252930745482445,0.024986082687973976,0.0007076860056258738
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,1,21,20,20,20,2000,-7.010623455047607,0.12286076694726944,-15.938815116882324,0.06400714814662933,199829216.0,35467008.0,19.087610244750977,0.1736842840909958,0.019199196249246597,0.007298765704035759,0.025516344234347343,0.0007165609276853502
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,1,21,20,20,20,2000,-7.296386241912842,0.11658434569835663,-15.93947982788086,0.04161534085869789,48790620.0,6418781.5,17.69261360168457,0.13158918917179108,0.03415442258119583,0.013708068057894707,0.025760933756828308,0.0007029016269370914
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,1,21,20,20,20,2000,-7.015970706939697,0.12382617592811584,-15.897029876708984,0.03565353900194168,16993298.0,674630.4375,16.647750854492188,0.041370097547769547,0.23819629848003387,0.033672794699668884,0.02604859136044979,0.0007165945135056973
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,1,21,20,20,20,2000,-7.256835460662842,0.11595549434423447,-15.897485733032227,0.019634107127785683,11617326.0,252800.234375,16.2675724029541,0.021311914548277855,0.5156760215759277,0.015465827658772469,0.02472417615354061,0.0006913407705724239
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,1,21,20,20,20,2000,-7.17523193359375,0.11913082003593445,-15.873331069946289,0.017626013606786728,9991308.0,165947.046875,16.117372512817383,0.01722220703959465,0.6372259259223938,0.01440779585391283,0.026095440611243248,0.0007499901694245636
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,2,21,20,20,20,2000,-8.616193771362305,0.1203269511461258,-14.549256324768066,0.09264698624610901,6727329280.0,3610490880.0,22.491609573364258,0.5757846236228943,0.003130798926576972,0.0018726260168477893,0.025266099721193314,0.0007149815210141242
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,2,21,20,20,20,2000,-6.978560924530029,0.11827836185693741,-15.88845157623291,0.05695688724517822,174499536.0,28798904.0,18.967910766601562,0.16571670770645142,0.02105121873319149,0.007045912556350231,0.026636265218257904,0.0007497742190025747
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,2,21,20,20,20,2000,-7.097805976867676,0.123354472219944,-15.894319534301758,0.04038168117403984,38615688.0,3025642.5,17.4693546295166,0.0757109746336937,0.08369278907775879,0.025976931676268578,0.02615603432059288,0.0007327368366532028
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,8,21,20,20,20,2000,-8.276375770568848,0.12433823198080063,-14.826926231384277,0.04795060679316521,23134140.0,1999920.875,16.95313835144043,0.08602603524923325,0.06361891329288483,0.0076597752049565315,0.02653552033007145,0.0007493700250051916
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,8,21,20,20,20,2000,-7.248101234436035,0.12175910174846649,-15.893850326538086,0.019805504009127617,10784194.0,221201.5625,16.193212509155273,0.020191416144371033,0.5519073605537415,0.02459004335105419,0.025042511522769928,0.0007100498187355697
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,8,21,20,20,20,2000,-7.097751617431641,0.12199246138334274,-15.842323303222656,0.03034660965204239,17715864.0,749339.125,16.69022560119629,0.04177231341600418,0.22442683577537537,0.016378235071897507,0.02563200145959854,0.0007228981121443212
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,2,21,20,20,20,2000,-7.166306972503662,0.1173122301697731,-15.935832977294922,0.014916054904460907,10488452.0,175224.921875,16.165447235107422,0.01604216918349266,0.6409388780593872,0.011662154458463192,0.025417758151888847,0.0007014748407527804
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,16,21,20,20,20,2000,-8.341629028320312,0.117781862616539,-14.764793395996094,0.03498987480998039,9386294.0,726363.5,16.051054000854492,0.07932741940021515,0.08159249275922775,0.028046635910868645,0.02653592824935913,0.0007578333024866879
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,16,21,20,20,20,2000,-7.085948467254639,0.11679086089134216,-15.87906551361084,0.022274624556303024,12565607.0,335931.0625,16.3458309173584,0.026649383828043938,0.4121668338775635,0.022811109200119972,0.026173360645771027,0.0007627018494531512
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,8,21,20,20,20,2000,-7.324015140533447,0.1198352575302124,-15.87466049194336,0.022382186725735664,12792101.0,349702.125,16.362693786621094,0.027667013928294182,0.39861977100372314,0.01941828802227974,0.02596161887049675,0.0007232590578496456
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,4,21,20,20,20,2000,-7.141554355621338,0.12812592089176178,-15.870168685913086,0.026922183111310005,9494824.0,139791.203125,16.066373825073242,0.01440278347581625,0.7063350081443787,0.018352355808019638,0.02507476508617401,0.000735521491151303
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,16,21,20,20,20,2000,-7.254247188568115,0.14137211441993713,-15.838303565979004,0.06332607567310333,11102383.0,217385.1875,16.222450256347656,0.020767711102962494,0.5479719638824463,0.02236305922269821,0.025870010256767273,0.0007015375886112452
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,2,21,20,20,20,2000,-7.067902565002441,0.12355536222457886,-15.915647506713867,0.03220033645629883,19318490.0,782940.8125,16.775209426879883,0.0414101667702198,0.23780709505081177,0.021417805925011635,0.02670801430940628,0.0007737709092907608
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,4,21,20,20,20,2000,-7.139437198638916,0.1174081563949585,-15.929861068725586,0.021927641704678535,13107119.0,348364.59375,16.387380599975586,0.025720132514834404,0.4260111153125763,0.019180722534656525,0.025620590895414352,0.0007200001855380833
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,2,21,20,20,20,2000,-7.017041206359863,0.11868762224912643,-15.925204277038574,0.019865339621901512,12263856.0,308292.9375,16.32136344909668,0.025542136281728745,0.4382694959640503,0.022271020337939262,0.0263324286788702,0.0007164897979237139
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,4,21,20,20,20,2000,-7.080408573150635,0.11200114339590073,-15.945062637329102,0.015354079194366932,10656058.0,180713.15625,16.181928634643555,0.017230983823537827,0.6251954436302185,0.013974480330944061,0.02540658973157406,0.0007387587102130055
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,8,21,20,20,20,2000,-7.192903518676758,0.12186922878026962,-15.901601791381836,0.013183621689677238,9456106.0,130292.8984375,16.061859130859375,0.013185054063796997,0.7329665422439575,0.01096283458173275,0.02577800117433071,0.0007179549429565668
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,4,21,20,20,20,2000,-7.331026554107666,0.11631425470113754,-15.879554748535156,0.041872184723615646,44603828.0,4443634.0,17.606136322021484,0.10214740037918091,0.05415380001068115,0.015845969319343567,0.025126874446868896,0.0007121451781131327
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,4,21,20,20,20,2000,-7.045072555541992,0.11538942903280258,-15.915692329406738,0.030977467074990273,18561310.0,768804.625,16.736398696899414,0.04158341512084007,0.23806528747081757,0.020699208602309227,0.025458792224526405,0.0007157849613577127
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,16,21,20,20,20,2000,-7.062204360961914,0.1151440292596817,-15.935954093933105,0.01427982747554779,10084157.0,151653.203125,16.125503540039062,0.015245633199810982,0.6902316808700562,0.01120347622781992,0.026044350117444992,0.0007417628658004105
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,8,21,20,20,20,2000,-7.163136959075928,0.1198832169175148,-15.894444465637207,0.01147779542952776,9014061.0,99642.3359375,16.013755798339844,0.011010732501745224,0.7989192008972168,0.006698955781757832,0.026466628536581993,0.0007623160490766168
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,16,21,20,20,20,2000,-7.159226417541504,0.12119998037815094,-15.903477668762207,0.012347481213510036,9100202.0,101751.5078125,16.02389144897461,0.010636137798428535,0.7991423606872559,0.009138815104961395,0.02497408352792263,0.0007180414395406842
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,16,21,20,20,20,2000,-7.066662311553955,0.11847434937953949,-15.891515731811523,0.011330361478030682,8866839.0,94834.859375,15.997491836547852,0.010788640938699245,0.8130329251289368,0.007443570997565985,0.025861244648694992,0.0007273248047567904
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,4,21,20,20,20,2000,-6.884929180145264,0.11707740277051926,-15.911262512207031,0.011259261518716812,9149765.0,102505.78125,16.029617309570312,0.011477704159915447,0.7918754816055298,0.009412892162799835,0.027368927374482155,0.00078291300451383
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,2,21,20,20,20,2000,-7.256165504455566,0.11876770853996277,-15.883490562438965,0.01605675369501114,9456231.0,129148.875,16.062685012817383,0.014480414800345898,0.7147163152694702,0.013477721251547337,0.026751745492219925,0.0007645629812031984
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,8,21,20,20,20,2000,-6.727735996246338,0.11997730284929276,-15.90438461303711,0.011689930222928524,9027416.0,103983.5078125,16.015300750732422,0.011473337188363075,0.7940863966941833,0.01964058168232441,0.02729576639831066,0.0007271143840625882
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,16,21,20,20,20,2000,-6.930027484893799,0.11877463757991791,-15.894590377807617,0.016911983489990234,8852248.0,86179.875,15.996206283569336,0.009736450389027596,0.8397570252418518,0.007884187623858452,0.02631872333586216,0.0007350142695941031
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,32,21,20,20,20,2000,-7.1580657958984375,0.11902491003274918,-15.876317024230957,0.01850752905011177,9107194.0,107982.6875,16.02435302734375,0.012129255570471287,0.7718363404273987,0.009033143520355225,0.026285599917173386,0.0007284930907189846
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,32,21,20,20,20,2000,-6.884695529937744,0.1184794083237648,-15.895330429077148,0.017241761088371277,10578207.0,201515.984375,16.174463272094727,0.018990829586982727,0.5809186697006226,0.030431455001235008,0.02662622556090355,0.0007210530457086861
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,32,21,20,20,20,2000,-8.496158599853516,0.1227322518825531,-14.72641658782959,0.02745721861720085,4915301.5,162283.59375,15.40649700164795,0.03238151967525482,0.3231944143772125,0.0143040856346488,0.026356004178524017,0.0007737131672911346
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,32,21,20,20,20,2000,-7.016699314117432,0.12452242523431778,-15.8766508102417,0.02958786115050316,9669852.0,146201.34375,16.08500099182129,0.014876208268105984,0.6956889033317566,0.011679052375257015,0.02604605071246624,0.0007394018466584384
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,32,21,20,20,20,2000,-7.229738712310791,0.11797840148210526,-15.908198356628418,0.012229438871145248,9060184.0,100781.984375,16.019248962402344,0.010468803346157074,0.812463641166687,0.006977564189583063,0.025836104527115822,0.0007037214818410575
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,hutch,64,21,20,20,20,2000,-7.184226036071777,0.11490598320960999,-15.870278358459473,0.014975502155721188,9434827.0,140261.609375,16.058917999267578,0.014745848253369331,0.6967051029205322,0.01297883503139019,0.026113372296094894,0.0007501457002945244
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,hutch,64,21,20,20,20,2000,-8.099815368652344,0.1249161958694458,-14.803885459899902,0.0226924829185009,4235794.5,105182.2265625,15.258813858032227,0.024817992001771927,0.436533123254776,0.022247007116675377,0.02665696293115616,0.0007796169375069439
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,hutch,64,21,20,20,20,2000,-7.080470085144043,0.11728987097740173,-15.902934074401855,0.011383420787751675,8972315.0,93928.6796875,16.009851455688477,0.010593893937766552,0.81912761926651,0.006826462689787149,0.025659622624516487,0.0007154454360716045
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,32,21,20,20,20,2000,-7.077546119689941,0.12379084527492523,-15.88807487487793,0.02395188994705677,8996602.0,90103.78125,16.01224136352539,0.010171627625823021,0.8316437602043152,0.00807763822376728,0.026072246953845024,0.0007221022387966514
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,hutch,64,21,20,20,20,2000,-7.181950569152832,0.11769551038742065,-15.903665542602539,0.01187125127762556,9173657.0,107722.703125,16.031484603881836,0.012029369361698627,0.7775920629501343,0.011126257479190826,0.026457663625478745,0.0007511416333727539
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,hutch,64,21,20,20,20,2000,-7.372336387634277,0.1183285340666771,-15.883810997009277,0.01723361760377884,8813675.0,86151.8828125,15.991769790649414,0.00989645067602396,0.8341257572174072,0.00929776206612587,0.025288952514529228,0.0006889221258461475
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,32,21,20,20,20,2000,-7.0245537757873535,0.11862965673208237,-15.91476821899414,0.009629050269722939,8901725.0,88038.8125,16.001684188842773,0.009798038750886917,0.835921585559845,0.009752823039889336,0.0259102750569582,0.0007509271381422877
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,fp,32,21,20,20,20,2000,-8.428486824035645,0.126227468252182,-11.561447143554688,0.03932460397481918,435872.15625,53095.23828125,12.978211402893066,0.1180560514330864,0.04725388437509537,0.02710224874317646,0.02620629593729973,0.0007419631583616138
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,32,21,20,20,20,2000,-7.019423961639404,0.11798136681318283,-15.61847972869873,0.025397643446922302,8698054.0,196567.78125,15.977511405944824,0.022773748263716698,0.5013868808746338,0.021340643987059593,0.02538161538541317,0.0007147553260438144
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,fp,32,21,20,20,20,2000,-7.109466552734375,0.11647595465183258,-15.788629531860352,0.02240494079887867,8809164.0,131742.453125,15.991416931152344,0.01493105199187994,0.7016610503196716,0.01261311024427414,0.02538377046585083,0.0007192472694441676
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,fp,32,21,20,20,20,2000,-7.134219646453857,0.12430816143751144,-15.849204063415527,0.01573321595788002,8857542.0,109507.7421875,15.996573448181152,0.012501013465225697,0.7686823010444641,0.010231592692434788,0.026669668033719063,0.000748925085645169
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,hutch,64,21,20,20,20,2000,-7.129286766052246,0.12126152962446213,-15.8905029296875,0.010019560344517231,8686274.0,83944.3046875,15.97677993774414,0.009729530662298203,0.8433016538619995,0.007768779527395964,0.025669587776064873,0.0007521472289226949
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,2000,fp,32,21,20,20,20,2000,-7.298919200897217,0.11512318253517151,-15.884014129638672,0.009818603284657001,8692136.0,88565.609375,15.977805137634277,0.009977009147405624,0.8341927528381348,0.005571762565523386,0.025363720953464508,0.0007187483715824783
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,2000,fp,32,21,20,20,20,2000,-7.283380031585693,0.12228534370660782,-15.868897438049316,0.01158805750310421,8602119.0,87775.328125,15.966961860656738,0.01017761044204235,0.8264033794403076,0.009300475008785725,0.02616761438548565,0.0007339424919337034
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,fp,32,21,20,20,20,2000,-7.325118541717529,0.11488977074623108,-15.894137382507324,0.00955780316144228,8676841.0,79489.171875,15.976273536682129,0.009067199192941189,0.8586477637290955,0.005176807753741741,0.025785302743315697,0.0007217680686153471
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.0005,0.0,2000,hutch,64,21,20,20,20,2000,-7.253152370452881,0.11803621798753738,-15.899529457092285,0.011957786977291107,8835050.0,88081.8828125,15.994302749633789,0.009476839564740658,0.843784749507904,0.007869308814406395,0.02497955784201622,0.0007169958553276956
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,16,21,20,20,20,2000,-7.308809757232666,0.12203093618154526,-15.364805221557617,0.023467445746064186,8362465.5,267997.4375,15.937862396240234,0.03168392926454544,0.3352200388908386,0.020181337371468544,0.024340586736798286,0.0007042302167974412
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,2000,fp,8,21,20,20,20,2000,-6.977549076080322,0.12409301102161407,-14.878813743591309,0.032944586127996445,7481590.0,383108.90625,15.82612419128418,0.05118624493479729,0.166171133518219,0.025400258600711823,0.026668855920433998,0.0007441657944582403
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,fp,16,21,20,20,20,2000,-8.226359367370605,0.1283436417579651,-10.807961463928223,0.04958631470799446,415040.09375,73236.5390625,12.910795211791992,0.1751556396484375,0.022895215079188347,0.014156132005155087,0.026529863476753235,0.0007221784326247871
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,2000,fp,8,21,20,20,20,2000,-8.310256004333496,0.12984663248062134,-9.886468887329102,0.04953297600150108,415473.5625,122971.4921875,12.906158447265625,0.29493382573127747,0.01240130141377449,0.010107520967721939,0.026548046618700027,0.0007605607388541102
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,fp,4,21,20,20,20,2000,-7.45162296295166,0.11687206476926804,-15.15507698059082,0.030743401497602463,9661922.0,433496.78125,16.083614349365234,0.04548915475606918,0.19679072499275208,0.017809603363275528,0.025451820343732834,0.0007058756309561431
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,2000,fp,16,21,20,20,20,2000,-7.347384929656982,0.12075444310903549,-15.670754432678223,0.02012588270008564,8507846.0,159126.953125,15.956748008728027,0.0186834167689085,0.5923559665679932,0.014425350353121758,0.024837017059326172,0.0007203610730357468
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,2000,fp,8,21,20,20,20,2000,-7.160665512084961,0.11574510484933853,-15.685502052307129,0.016549943014979362,8444691.0,151912.859375,15.948690414428711,0.01773710735142231,0.6094627976417542,0.014548767358064651,0.02552088350057602,0.0006878012791275978
